[2026-03-22T06:12:13.653Z] GET http://localhost:3003/api/business/biz-1774159749695/dashboard → pending (?ms, ?B)
[2026-03-22T06:12:13.656Z] GET http://localhost:3003/api/mock/stripe/transactions?business_id=biz-1774159749695 → pending (?ms, ?B)
[2026-03-22T06:12:13.661Z] GET http://localhost:3003/api/business/biz-1774159749695/dashboard → pending (?ms, ?B)
[2026-03-22T06:12:13.661Z] GET http://localhost:3003/api/mock/stripe/transactions?business_id=biz-1774159749695 → pending (?ms, ?B)
[2026-03-22T06:20:02.824Z] GET http://localhost:3003/_next/static/webpack/47108cd533892d01.webpack.hot-update.json → 200 (23ms, 65B)
[2026-03-22T06:20:02.852Z] GET http://localhost:3003/_next/static/webpack/app/layout.47108cd533892d01.hot-update.js → 200 (23ms, 1623B)
[2026-03-22T06:20:02.852Z] GET http://localhost:3003/_next/static/webpack/app/dashboard/page.47108cd533892d01.hot-update.js → 200 (50ms, 145338B)
[2026-03-22T06:20:02.852Z] GET http://localhost:3003/_next/static/webpack/webpack.47108cd533892d01.hot-update.js → 200 (17ms, 858B)
[2026-03-22T06:20:02.824Z] GET http://localhost:3003/_next/static/webpack/47108cd533892d01.webpack.hot-update.json → 200 (18ms, 65B)
[2026-03-22T06:20:02.848Z] GET http://localhost:3003/_next/static/webpack/app/layout.47108cd533892d01.hot-update.js → 200 (29ms, 1623B)
[2026-03-22T06:20:02.848Z] GET http://localhost:3003/_next/static/webpack/app/dashboard/page.47108cd533892d01.hot-update.js → 200 (46ms, 145338B)
[2026-03-22T06:20:02.848Z] GET http://localhost:3003/_next/static/webpack/webpack.47108cd533892d01.hot-update.js → 200 (32ms, 858B)
[2026-03-22T06:20:03.611Z] GET http://localhost:3003/connect?_rsc=yu236 → pending (?ms, ?B)
[2026-03-22T06:20:03.613Z] GET http://localhost:3003/dashboard?b=biz-1774159749695&_rsc=syt8b → 200 (230ms, ?B)
[2026-03-22T06:20:03.877Z] GET http://localhost:3003/_next/static/css/app/layout.css?v=1774160403838 → 200 (6ms, 64139B)
[2026-03-22T06:20:03.827Z] GET http://localhost:3003/_next/static/css/app/layout.css?v=1774160403789 → 200 (42ms, 64139B)
[2026-03-22T06:20:37.283Z] GET http://localhost:3003/_next/static/webpack/ca4546f6928b3429.webpack.hot-update.json → 200 (136ms, 65B)
[2026-03-22T06:20:37.426Z] GET http://localhost:3003/_next/static/webpack/app/layout.ca4546f6928b3429.hot-update.js → 200 (34ms, 1623B)
[2026-03-22T06:20:37.426Z] GET http://localhost:3003/_next/static/webpack/app/dashboard/page.ca4546f6928b3429.hot-update.js → 200 (93ms, 152390B)
[2026-03-22T06:20:37.427Z] GET http://localhost:3003/_next/static/webpack/webpack.ca4546f6928b3429.hot-update.js → 200 (39ms, 858B)
[2026-03-22T06:20:37.284Z] GET http://localhost:3003/_next/static/webpack/ca4546f6928b3429.webpack.hot-update.json → 200 (124ms, 65B)
[2026-03-22T06:20:37.440Z] GET http://localhost:3003/_next/static/webpack/app/layout.ca4546f6928b3429.hot-update.js → 200 (25ms, 1623B)
[2026-03-22T06:20:37.446Z] GET http://localhost:3003/_next/static/webpack/app/dashboard/page.ca4546f6928b3429.hot-update.js → 200 (38ms, 152390B)
[2026-03-22T06:20:37.448Z] GET http://localhost:3003/_next/static/webpack/webpack.ca4546f6928b3429.hot-update.js → 200 (18ms, 858B)
[2026-03-22T06:20:38.310Z] GET http://localhost:3003/connect?_rsc=yu236 → 200 (352ms, ?B)
[2026-03-22T06:20:38.727Z] GET http://localhost:3003/_next/static/css/app/layout.css?v=1774160438633 → 200 (81ms, 64328B)
[2026-03-22T06:20:38.352Z] GET http://localhost:3003/dashboard?b=biz-1774159749695&_rsc=syt8b → 200 (211ms, ?B)
[2026-03-22T06:20:38.592Z] GET http://localhost:3003/_next/static/css/app/layout.css?v=1774160438507 → 200 (124ms, 64328B)
[2026-03-22T06:20:43.744Z] GET http://localhost:3003/_next/static/webpack/fec2aa992277b5a5.webpack.hot-update.json → 200 (14ms, 65B)
[2026-03-22T06:20:43.758Z] GET http://localhost:3003/_next/static/webpack/app/layout.fec2aa992277b5a5.hot-update.js → 200 (27ms, 1623B)
[2026-03-22T06:20:43.758Z] GET http://localhost:3003/_next/static/webpack/app/dashboard/page.fec2aa992277b5a5.hot-update.js → 200 (32ms, 152390B)
[2026-03-22T06:20:43.759Z] GET http://localhost:3003/_next/static/webpack/webpack.fec2aa992277b5a5.hot-update.js → 200 (25ms, 858B)
[2026-03-22T06:20:43.744Z] GET http://localhost:3003/_next/static/webpack/fec2aa992277b5a5.webpack.hot-update.json → 200 (14ms, 65B)
[2026-03-22T06:20:43.760Z] GET http://localhost:3003/_next/static/webpack/app/layout.fec2aa992277b5a5.hot-update.js → 200 (24ms, 1623B)
[2026-03-22T06:20:43.760Z] GET http://localhost:3003/_next/static/webpack/app/dashboard/page.fec2aa992277b5a5.hot-update.js → 200 (27ms, 152390B)
[2026-03-22T06:20:43.760Z] GET http://localhost:3003/_next/static/webpack/webpack.fec2aa992277b5a5.hot-update.js → 200 (18ms, 858B)
[2026-03-22T06:20:44.027Z] GET http://localhost:3003/dashboard?b=biz-1774159749695&_rsc=syt8b → pending (?ms, ?B)
[2026-03-22T06:20:44.027Z] GET http://localhost:3003/connect?_rsc=yu236 → 200 (54ms, ?B)
[2026-03-22T06:20:44.107Z] GET http://localhost:3003/_next/static/css/app/layout.css?v=1774160444069 → 200 (5ms, 64328B)
[2026-03-22T06:20:44.117Z] GET http://localhost:3003/_next/static/css/app/layout.css?v=1774160444090 → 200 (2ms, 64328B)
[2026-03-22T06:20:50.133Z] GET http://localhost:3003/connect?_rsc=yu236 → 200 (183ms, ?B)
[2026-03-22T06:20:50.136Z] GET http://localhost:3003/_next/static/webpack/7184315652f20192.webpack.hot-update.json → 200 (50ms, 65B)
[2026-03-22T06:20:50.188Z] GET http://localhost:3003/_next/static/webpack/app/layout.7184315652f20192.hot-update.js → 200 (38ms, 1623B)
[2026-03-22T06:20:50.189Z] GET http://localhost:3003/_next/static/webpack/app/dashboard/page.7184315652f20192.hot-update.js → 200 (78ms, 152390B)
[2026-03-22T06:20:50.190Z] GET http://localhost:3003/_next/static/webpack/webpack.7184315652f20192.hot-update.js → 200 (40ms, 858B)
[2026-03-22T06:20:50.328Z] GET http://localhost:3003/_next/static/css/app/layout.css?v=1774160450302 → 200 (31ms, 64328B)
[2026-03-22T06:20:50.133Z] GET http://localhost:3003/dashboard?b=biz-1774159749695&_rsc=syt8b → 200 (211ms, ?B)
[2026-03-22T06:20:50.139Z] GET http://localhost:3003/_next/static/webpack/7184315652f20192.webpack.hot-update.json → 200 (46ms, 65B)
[2026-03-22T06:20:50.186Z] GET http://localhost:3003/_next/static/webpack/app/layout.7184315652f20192.hot-update.js → 200 (32ms, 1623B)
[2026-03-22T06:20:50.186Z] GET http://localhost:3003/_next/static/webpack/app/dashboard/page.7184315652f20192.hot-update.js → 200 (67ms, 152390B)
[2026-03-22T06:20:50.187Z] GET http://localhost:3003/_next/static/webpack/webpack.7184315652f20192.hot-update.js → 200 (40ms, 858B)
[2026-03-22T06:20:50.361Z] GET http://localhost:3003/_next/static/css/app/layout.css?v=1774160450336 → 200 (6ms, 64328B)
[2026-03-22T06:20:53.973Z] GET http://localhost:3003/_next/static/webpack/87ea6d26626cf27b.webpack.hot-update.json → 200 (24ms, 65B)
[2026-03-22T06:20:54.013Z] GET http://localhost:3003/_next/static/webpack/app/layout.87ea6d26626cf27b.hot-update.js → 200 (11ms, 1623B)
[2026-03-22T06:20:54.013Z] GET http://localhost:3003/_next/static/webpack/app/dashboard/page.87ea6d26626cf27b.hot-update.js → 200 (36ms, 152390B)
[2026-03-22T06:20:54.013Z] GET http://localhost:3003/_next/static/webpack/webpack.87ea6d26626cf27b.hot-update.js → 200 (3ms, 858B)
[2026-03-22T06:20:53.972Z] GET http://localhost:3003/_next/static/webpack/87ea6d26626cf27b.webpack.hot-update.json → 200 (31ms, 65B)
[2026-03-22T06:20:54.009Z] GET http://localhost:3003/_next/static/webpack/app/layout.87ea6d26626cf27b.hot-update.js → 200 (10ms, 1623B)
[2026-03-22T06:20:54.009Z] GET http://localhost:3003/_next/static/webpack/app/dashboard/page.87ea6d26626cf27b.hot-update.js → 200 (36ms, 152390B)
[2026-03-22T06:20:54.009Z] GET http://localhost:3003/_next/static/webpack/webpack.87ea6d26626cf27b.hot-update.js → 200 (8ms, 858B)
[2026-03-22T06:20:54.259Z] GET http://localhost:3003/connect?_rsc=yu236 → 200 (90ms, ?B)
[2026-03-22T06:20:54.515Z] GET http://localhost:3003/_next/static/css/app/layout.css?v=1774160454328 → 200 (218ms, 64328B)
[2026-03-22T06:20:54.256Z] GET http://localhost:3003/dashboard?b=biz-1774159749695&_rsc=syt8b → 200 (408ms, ?B)
[2026-03-22T06:20:54.736Z] GET http://localhost:3003/_next/static/css/app/layout.css?v=1774160454648 → 200 (9ms, 64328B)
[2026-03-22T06:20:58.753Z] GET http://localhost:3003/_next/static/webpack/f7ccd59456f2cf7f.webpack.hot-update.json → 200 (13ms, 65B)
[2026-03-22T06:20:58.767Z] GET http://localhost:3003/_next/static/webpack/app/layout.f7ccd59456f2cf7f.hot-update.js → 200 (18ms, 1623B)
[2026-03-22T06:20:58.767Z] GET http://localhost:3003/_next/static/webpack/app/dashboard/page.f7ccd59456f2cf7f.hot-update.js → 200 (33ms, 152390B)
[2026-03-22T06:20:58.767Z] GET http://localhost:3003/_next/static/webpack/webpack.f7ccd59456f2cf7f.hot-update.js → 200 (11ms, 858B)
[2026-03-22T06:20:58.752Z] GET http://localhost:3003/_next/static/webpack/f7ccd59456f2cf7f.webpack.hot-update.json → 200 (15ms, 65B)
[2026-03-22T06:20:58.768Z] GET http://localhost:3003/_next/static/webpack/app/layout.f7ccd59456f2cf7f.hot-update.js → 200 (16ms, 1623B)
[2026-03-22T06:20:58.768Z] GET http://localhost:3003/_next/static/webpack/app/dashboard/page.f7ccd59456f2cf7f.hot-update.js → 200 (32ms, 152390B)
[2026-03-22T06:20:58.768Z] GET http://localhost:3003/_next/static/webpack/webpack.f7ccd59456f2cf7f.hot-update.js → 200 (10ms, 858B)
[2026-03-22T06:20:59.006Z] GET http://localhost:3003/dashboard?b=biz-1774159749695&_rsc=syt8b → pending (?ms, ?B)
[2026-03-22T06:20:59.000Z] GET http://localhost:3003/connect?_rsc=yu236 → 200 (727ms, ?B)
[2026-03-22T06:20:59.777Z] GET http://localhost:3003/_next/static/css/app/layout.css?v=1774160459401 → 200 (74ms, ?B)
[2026-03-22T06:20:59.782Z] GET http://localhost:3003/_next/static/css/app/layout.css?v=1774160459483 → 200 (142ms, 64328B)
[2026-03-22T06:21:03.502Z] GET http://localhost:3003/_next/static/webpack/a17a9c144ea037c7.webpack.hot-update.json → 200 (10ms, 65B)
[2026-03-22T06:21:03.513Z] GET http://localhost:3003/_next/static/webpack/app/layout.a17a9c144ea037c7.hot-update.js → 200 (20ms, 1623B)
[2026-03-22T06:21:03.513Z] GET http://localhost:3003/_next/static/webpack/app/dashboard/page.a17a9c144ea037c7.hot-update.js → 200 (52ms, 152390B)
[2026-03-22T06:21:03.513Z] GET http://localhost:3003/_next/static/webpack/webpack.a17a9c144ea037c7.hot-update.js → 200 (15ms, 858B)
[2026-03-22T06:21:03.773Z] GET http://localhost:3003/connect?_rsc=yu236 → pending (?ms, ?B)
[2026-03-22T06:21:03.502Z] GET http://localhost:3003/_next/static/webpack/a17a9c144ea037c7.webpack.hot-update.json → 200 (9ms, 65B)
[2026-03-22T06:21:03.513Z] GET http://localhost:3003/_next/static/webpack/app/layout.a17a9c144ea037c7.hot-update.js → 200 (18ms, 1623B)
[2026-03-22T06:21:03.513Z] GET http://localhost:3003/_next/static/webpack/app/dashboard/page.a17a9c144ea037c7.hot-update.js → 200 (33ms, 152390B)
[2026-03-22T06:21:03.513Z] GET http://localhost:3003/_next/static/webpack/webpack.a17a9c144ea037c7.hot-update.js → 200 (13ms, 858B)
[2026-03-22T06:21:03.773Z] GET http://localhost:3003/dashboard?b=biz-1774159749695&_rsc=syt8b → 200 (128ms, ?B)
[2026-03-22T06:21:03.951Z] GET http://localhost:3003/_next/static/css/app/layout.css?v=1774160463871 → 200 (58ms, 64328B)
[2026-03-22T06:21:03.970Z] GET http://localhost:3003/_next/static/css/app/layout.css?v=1774160463915 → 200 (7ms, 64328B)
[2026-03-22T06:21:41.218Z] GET http://localhost:3003/dashboard?b=biz-1774159749695 → 200 (455ms, 11609B)
[2026-03-22T06:21:41.685Z] GET http://localhost:3003/_next/static/media/4473ecc91f70f139-s.p.woff → 200 (?ms, ?B)
[2026-03-22T06:21:41.685Z] GET http://localhost:3003/_next/static/media/463dafcda517f24f-s.p.woff → 200 (?ms, ?B)
[2026-03-22T06:21:41.685Z] GET http://localhost:3003/_next/static/media/8a1d8947e5852e30-s.p.woff2 → 200 (1ms, ?B)
[2026-03-22T06:21:41.686Z] GET http://localhost:3003/_next/static/media/9cc5b37ab1350db7-s.p.woff2 → 200 (?ms, ?B)
[2026-03-22T06:21:41.686Z] GET http://localhost:3003/_next/static/css/app/layout.css?v=1774160501239 → 200 (5ms, 64328B)
[2026-03-22T06:21:41.686Z] GET http://localhost:3003/_next/static/chunks/webpack.js?v=1774160501239 → 200 (18ms, 56325B)
[2026-03-22T06:21:41.687Z] GET http://localhost:3003/_next/static/chunks/main-app.js?v=1774160501239 → pending (?ms, ?B)
[2026-03-22T06:21:41.687Z] GET http://localhost:3003/_next/static/chunks/app-pages-internals.js → 200 (18ms, 132987B)
[2026-03-22T06:21:41.688Z] GET http://localhost:3003/_next/static/chunks/app/dashboard/page.js → 200 (257ms, ?B)
[2026-03-22T06:21:41.688Z] GET http://localhost:3003/_next/static/chunks/app/layout.js → 200 (32ms, 303561B)
[2026-03-22T06:21:42.755Z] GET http://localhost:3003/api/business/biz-1774159749695/dashboard → pending (?ms, ?B)
[2026-03-22T06:21:42.756Z] GET http://localhost:3003/api/mock/stripe/transactions?business_id=biz-1774159749695 → pending (?ms, ?B)
[2026-03-22T06:21:42.756Z] GET http://localhost:3003/api/business/biz-1774159749695/dashboard → pending (?ms, ?B)
